leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",5.5 mi,2 hours 1 min,5.6 mi,15 mins,4.7,10:30AM-1:00AM,False,False,drive
2,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",7.3 mi,2 hours 43 mins,8.7 mi,19 mins,4.7,10:00AM-10:00PM,True,n/a,drive
3,Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",KG Slider Station,"3748 Lafayette Rd, Indianapolis, IN 46222, USA",6.7 mi,2 hours 31 mins,7.5 mi,16 mins,5.0,11:00AM-10:00PM,False,False,drive
4,KG Slider Station,"3748 Lafayette Rd, Indianapolis, IN 46222, USA",Food Truck Don Luis,"Lafayette Place Shopping Center, 3605 Commercial Dr, Indianapolis, IN 46222, USA",0.6 mi,13 mins,0.7 mi,4 mins,3.0,6:00PM-12:00AM,n/a,n/a,walk
5,Food Truck Don Luis,"Lafayette Place Shopping Center, 3605 Commercial Dr, Indianapolis, IN 46222, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",6.2 mi,2 hours 17 mins,7.9 mi,17 mins,-,-,-,-,drive
