leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",ClusterTruck - Castleton,"4737 E 82nd St, Indianapolis, IN 46250, USA",13.0 mi,4 hours 49 mins,19.7 mi,26 mins,4.9,11:00AM-9:00PM,False,False,drive
2,ClusterTruck - Castleton,"4737 E 82nd St, Indianapolis, IN 46250, USA",Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",18.0 mi,6 hours 38 mins,24.8 mi,29 mins,4.7,6:00PM-12:00AM,True,n/a,drive
3,Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46254, USA",6.9 mi,2 hours 32 mins,7.4 mi,13 mins,4.5,6:00PM-2:00AM,False,False,drive
4,Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46254, USA",The Night Owl Food Truck,"S Meridian St, Indianapolis, IN 46225, USA",8.8 mi,3 hours 15 mins,11.3 mi,17 mins,5.0,8:30PM-2:30AM,n/a,n/a,drive
5,The Night Owl Food Truck,"S Meridian St, Indianapolis, IN 46225, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",1.5 mi,33 mins,2.1 mi,7 mins,-,-,-,-,drive
