leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",ClusterTruck - Broad Ripple,"2101 E 62nd St, Indianapolis, IN 46220, USA",8.4 mi,3 hours 9 mins,10.7 mi,23 mins,4.9,10:00AM-11:00PM,n/a,n/a,drive
2,ClusterTruck - Broad Ripple,"2101 E 62nd St, Indianapolis, IN 46220, USA",The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, USA",8.8 mi,3 hours 15 mins,8.9 mi,20 mins,4.1,11:00AM-11:00PM,n/a,n/a,drive
3,The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, USA",Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",12.2 mi,4 hours 29 mins,14.3 mi,24 mins,4.4,11:00AM-11:50PM,True,n/a,drive
4,Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",5.8 mi,2 hours 6 mins,5.8 mi,14 mins,4.7,10:30AM-1:00AM,False,False,drive
5,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",5.5 mi,2 hours 2 mins,5.7 mi,14 mins,n/a,-,-,-,drive
